# #ds, delta s
84 , 37 , 37
85 , 42 , 39
87 , 36 , 31
84 , 42 , 35
80 , 40 , 33
83 , 33 , 33
79 , 35 , 30
77 , 33 , 28
73 , 25 , 38
80 , 37 , 29
78 , 27 , 30
74 , 33 , 28
71 , 28 , 27
76 , 28 , 31
69 , 31 , 31
73 , 32 , 30
67 , 31 , 26
71 , 28 , 28
69 , 25 , 27
67 , 33 , 28
66 , 30 , 22
70 , 33 , 23
65 , 28 , 26
64 , 31 , 25
67 , 29 , 26
63 , 26 , 23
63 , 31 , 23
#59 , 20 , 
#59 , 25 , 
#61 , 22 , 
#59 , 22 , 
